Song Name|Artist|Anime
Koyoi mofumofu!!|Azumi Waki & Maaya Uchida|Sewayaki Kitsune no Senko-san
Waltz|Suneohair|HachiKuro
Mirai wa Bokura no Te no Naka|Masato Hagiwara with Red Bonchiris|Gyakkyou Burai Kaiji: Hakairoku-hen
Tatta Ichido no Kiseki|Tomo Sakurai|Kami nomi zo Shiru Sekai
SEASON|M-VOICE|Perfect Blue
Isekai Showtime|Satoshi Hino, Jun Fukushima, Yuusuke Kobayashi, Aoi Yuuki|Isekai Quartet 2
filament|Yousei Teikoku|Mirai Nikki
Day you laugh|Toshiyuki Toyonaga|Durarara!!×2 Ten
No pain, No game|nano|Btooom!
SHINY DAYS|Asaka|Yuru Camp△
Otome-domo yo.|CHiCO with HoneyWorks|Araburu Kisetsu no Otome-domo yo.
Ichibanboshi|Risa Taneda, Aya Suzaki, M・A・O, Azusa Tadokoro|Gokukoku no Brynhildr
Many Stories-epilogue-|Chica|Beastars
Dango Daikazoku|Chata|Clannad
Goodbye Isaac|Motohiro Hata|Uchuu Kyoudai
Haramitsu Renge|ALI PROJECT|Rakudai Kishi no Cavalry
Doumei Kokka~Jiyuu no Hata, Jiyuu no Tami, Revolution・the・Heart|Participating Fans|Ginga Eiyuu Densetsu
Altair|Motohiro Hata meets Sakamichi no Apollon|Sakamichi no Apollon
Kimi no Kirei ni Kizuite Okure|Sambomaster|Kuragehime
Rotation [LOTUS-2]|Susumu Hirasawa|Sennen Joyuu
Suki ~Natsu o Mitsuketakute~|Pico|Pico: Boku no Chiisana Natsu Monogatari
Realize|Konomi Suzuki|Re:Zero kara Hajimeru Isekai Seikatsu
Mimei no Kimi to Hakumei no Mahou|Nagi Yanagi|Irozuku Sekai no Ashita kara.
Onegai☆Snyaiper|Miyuki Sawashiro|No Game No Life
Lost Paradise|Pile|Ousama Game The Animation
Akanezora|Asami Seto|Chihayafuru 2
Grand Blue|Shonan no Kaze|Grand Blue
Zetsubou Billy|Maximum the Hormone|Death Note
Fly Away|Asami Izawa|Koukyoushihen Eureka Seven
Sagittarius|SUEMITSU & THE NODAME ORCHESTRA|Nodame Cantabile
Kyouran Hey Kids!!|THE ORAL CIGARETTES|Noragami Aragoto
Daydream Believer|FLOW×ORANGE RANGE|Code Geass: Hangyaku no Lelouch R2
LUCY|ANNA TSUCHIYA inspi' NANA(BLACK STONES)|Nana
Mushoku Toumei|Yutaro Yamashita|Code Geass: Hangyaku no Lelouch R2
Le zoo|YURiKA|Beastars
Cold Illusions|Ryan Greaves|Tate no Yuusha no Nariagari
SECONDs FLY|(K)NoW_NAME:NIKIIE|Dorohedoro
My Soul,Your Beats!|Lia|Angel Beats!
Trigger|Yuuki Ozaki(from Galileo Galilei)|Zankyou no Terror
River|Anonymouz|Vinland Saga Season 2
Tank!|Seatbelts|Cowboy Bebop
Takaramono|Marina Kawano|Natsume Yuujinchou Shi
Shoukei to Shikabane no Michi|Linked Horizon|Shingeki no Kyojin Season 3
Opening|Joyo Katayanagi|Golden Boy
Rurou no Zakuro|Yasushi Ishii|Drifters
Seija-tachi|People in the Box|Tokyo Ghoul
Golden Time Lover|Sukima Switch|Hagane no Renkinjutsushi: Brotherhood
Seishun wa Hanabi no You ni|Linked Horizon|Shingeki! Kyojin Chuugakkou
Easy Breezy|chelmico|Eizouken ni wa Te o Dasu na!
Shounen Heart|HOME MADE Kazoku|Koukyoushihen Eureka Seven
Brave Song|Aoi Tada|Angel Beats!
Ride The Rainbow|Ken Arai|Pingu in the City
THIS ILLUSION|LiSA|Fate/stay night: Unlimited Blade Works
Hikari no Hahen|Yuu Takahashi|Orange
Bowl Man|IKZO|Hyouge Mono
Torikago|XX:me|Darling in the FranXX
Univer Page|Suzuko Mimori|Outbreak Company: Moeru Shinryakusha
Fighter|BUMP OF CHICKEN|3-gatsu no Lion
Calling|Kaori Oda|Baccano!
GUARDIAN ANGEL(XAVIER'S EDIT)|JUNO REACTOR|Texhnolyze
blaze|Kalafina|Arslan Senki: Fuujin Ranbu
REALIZE ~Hajimari no Toki~|Maaya Uchida|DanMachi
Refrain Boy -English ver.-|ALL OFF|Mob Psycho 100
Sai Ψ Sai Kouchou!|Dempagumi.inc|Saiki Kusuo no Psi-nan
Great Days -Units Ver.-|JO☆UNITED|JoJo no Kimyou na Bouken: Diamond wa Kudakenai
Gotta knock a little harder|Seatbelts featuring Mai Yamane|Cowboy Bebop: Tengoku no Tobira
Daisy|STEREO DIVE FOUNDATION|Kyoukai no Kanata
Ask DNA|Seatbelts featuring Raj Ramayya|Cowboy Bebop: Tengoku no Tobira
Ima, Kono Toki.|Hiiragi|Natsume Yuujinchou Shi
Carry Me Away|Seira Kagami|Kaiba
LOVE STOIC|Risa Taneda|Strike the Blood III
TIT FOR TAT|MYTH & ROID|Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
The Tower|Alisa|Carole & Tuesday
Akane Sasu|Aimer|Natsume Yuujinchou Go
Tada Hitori|Bakudan Johnny|Ping Pong The Animation
Hollow Veil|nonoc|Isekai Quartet
ad meliora|THE CHARM PARK|Fruits Basket 2nd Season
Kaidoku Funou|Jinn|Code Geass: Hangyaku no Lelouch
Anata no Eranda Kono Toki o|Kanako Itou|Steins;Gate: Fuka Ryouiki no Déjà vu
BLOODY HOLIC|Yuuka Nanri|Blood Lad
Mirai|Kobukuro|Orange
Shiawase no Arika|LOCAL CONNECT|Ore Monogatari!!
We're not alone|coldrain|Rainbow: Nisha Rokubou no Shichinin
be perfect, plz!|Riko Azuna|Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
Ringo Biyori|ROCKY CHACK|Ookami to Koushinryou
Colorful|ClariS|Gekijouban Mahou Shoujo Madoka★Magica Shinpen: Hangyaku no Monogatari
Kokoro|Natsuki Hanae|Saiki Kusuo no Psi-nan
MOTOR CITY|Kenichi Asai|No Guns Life
My Secret|Saaya Mizuno|Kaichou wa Maid-sama!
Watashi no Housekibako|Mai Fuchigami|Outbreak Company: Moeru Shinryakusha
fantastic dreamer|Machico|Kono Subarashii Sekai ni Shukufuku o!
